correlation_id,execution_id,train_percentage,noise,label_noise,is_bayesian,beta,loss_training,loss_testing,duration,end_condition,n_parameters,n_nodes,n_connections,n_layers,mean_genome_std,accuracy,precision,recall,f1,ece,absolute_best,dataset,Version
bayesian_neat_ft_final_v1_iris,0f5a1f1c-048b-4e92-bc72-81b00fa4041d,0.75,0.0,0.0,True,0.0001,0.8865965008735657,0.9394975304603577,0:08:55.735616,normal,54,7,20,4,0.574074074074074,71.05263157894737,0.8432017543859649,0.7105263157894737,0.6777416514258621,0.15160921710308567,False,iris,Without Fine-Tuning
bayesian_neat_ft_final_v1_iris,0f5a1f1c-048b-4e92-bc72-81b00fa4041d,0.75,0.0,0.0,True,0.0001,0.5927196145057678,0.8486314415931702,0:08:55.735616,normal,84,12,30,6,0.9552711530222107,97.36842105263158,0.9752321981424149,0.9736842105263158,0.9735566188197768,0.20424269581822435,True,iris,With Fine-Tuning
bayesian_neat_ft_final_v1_iris,52b41ad6-364e-48b6-a76a-6e01b6b34832,0.75,0.0,0.0,True,0.0001,0.9115761518478394,0.8952386379241943,0:15:11.493692,normal,102,15,36,8,0.5019607843137255,65.78947368421053,0.5179425837320575,0.6578947368421053,0.5585738539898133,0.1552416905554378,False,iris,Without Fine-Tuning
bayesian_neat_ft_final_v1_iris,52b41ad6-364e-48b6-a76a-6e01b6b34832,0.75,0.0,0.0,True,0.0001,0.6303675770759583,0.9266327619552612,0:15:11.493692,normal,60,8,22,4,0.9938483196837684,94.73684210526315,0.9569377990430621,0.9473684210526315,0.9478070175438597,0.2283206330334969,True,iris,With Fine-Tuning
bayesian_neat_ft_final_v1_iris,61b199b2-b8b4-4353-8e4e-3f6313d08c0a,0.75,0.0,0.0,True,0.0001,0.8959957957267761,0.9030699729919434,0:06:05.313091,normal,54,7,20,4,0.47407407407407404,84.21052631578947,0.8676236044657097,0.8421052631578947,0.8421052631578947,0.18411733568168742,False,iris,Without Fine-Tuning
bayesian_neat_ft_final_v1_iris,61b199b2-b8b4-4353-8e4e-3f6313d08c0a,0.75,0.0,0.0,True,0.0001,0.598064124584198,0.7935779094696045,0:06:05.313091,normal,54,7,20,4,0.7568229021361367,92.10526315789474,0.93796992481203,0.9210526315789473,0.9214035087719299,0.1922007193840483,True,iris,With Fine-Tuning
bayesian_neat_ft_final_v1_iris,7c829d7f-0e7b-4281-8f34-e257a7328fb7,0.75,0.0,0.0,True,0.0001,0.8499429225921631,0.9201650619506836,0:05:35.401540,normal,36,4,14,2,0.3055555555555556,50.0,0.31666666666666665,0.5,0.36585365853658536,0.1828115261946689,False,iris,Without Fine-Tuning
bayesian_neat_ft_final_v1_iris,7c829d7f-0e7b-4281-8f34-e257a7328fb7,0.75,0.0,0.0,True,0.0001,0.5824414491653442,0.9289261102676392,0:05:35.401540,normal,48,6,18,3,0.8114460688379729,97.36842105263158,0.975877192982456,0.9736842105263158,0.973900674129507,0.2024604802586169,True,iris,With Fine-Tuning
bayesian_neat_ft_final_v1_iris,e620b5b4-526d-400d-9e7c-d93d2b73f051,0.75,0.0,0.0,True,0.0001,0.8816978335380554,0.8974568843841553,0:10:07.365152,normal,54,7,20,3,0.4555555555555556,65.78947368421053,0.5073684210526316,0.6578947368421053,0.5614035087719298,0.10278599164409981,False,iris,Without Fine-Tuning
bayesian_neat_ft_final_v1_iris,e620b5b4-526d-400d-9e7c-d93d2b73f051,0.75,0.0,0.0,True,0.0001,0.5918470025062561,0.7709924578666687,0:10:07.365152,normal,60,8,22,3,0.8645754591932789,94.73684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.15816141329602523,True,iris,With Fine-Tuning
bayesian_neat_ft_final_v1_wine,0a4a9cb7-bf2b-4063-b682-ff593877fff4,0.75,0.0,0.0,True,8e-05,0.6686427593231201,0.7039284706115723,0:21:08.927453,normal,186,20,73,12,0.5117684925057163,95.55555555555556,0.9623931623931624,0.9555555555555556,0.9567340067340067,0.05730283103791284,False,wine,Without Fine-Tuning
bayesian_neat_ft_final_v1_wine,0a4a9cb7-bf2b-4063-b682-ff593877fff4,0.75,0.0,0.0,True,8e-05,0.6415097117424011,0.7246959805488586,0:21:08.927453,normal,210,24,81,13,0.5564541305910878,95.55555555555556,0.9623931623931624,0.9555555555555556,0.9567340067340067,0.06786232687992814,True,wine,With Fine-Tuning
bayesian_neat_ft_final_v1_wine,743ba54e-0200-42ff-8dcd-5095c85ed701,0.75,0.0,0.0,True,8e-05,0.7063649296760559,0.713962733745575,0:40:02.053200,normal,228,27,87,17,0.49832542354837106,97.77777777777777,0.9792592592592592,0.9777777777777777,0.9777493969064851,0.054496831231249876,False,wine,Without Fine-Tuning
bayesian_neat_ft_final_v1_wine,743ba54e-0200-42ff-8dcd-5095c85ed701,0.75,0.0,0.0,True,8e-05,0.6659621000289917,0.6930252313613892,0:40:02.053200,normal,228,27,87,17,0.6078953066183033,100.0,1.0,1.0,1.0,0.04565102895859767,True,wine,With Fine-Tuning
bayesian_neat_ft_final_v1_wine,8a2d42b8-6227-4954-823c-8e9c1487dd0c,0.75,0.0,0.0,True,8e-05,0.6832014918327332,0.6564341187477112,0:24:10.297717,normal,198,22,77,13,0.5319405435711564,100.0,1.0,1.0,1.0,0.02129742245155352,False,wine,Without Fine-Tuning
bayesian_neat_ft_final_v1_wine,8a2d42b8-6227-4954-823c-8e9c1487dd0c,0.75,0.0,0.0,True,8e-05,0.6351814270019531,0.680473804473877,0:24:10.297717,normal,198,22,77,13,0.8160143749146669,100.0,1.0,1.0,1.0,0.05798380855056974,True,wine,With Fine-Tuning
