% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=890858, Tue Jul 23 10:00:00 2019
1 12 -0.018470408234044937 -4.885771091310508e-06 0.00024016048742995542 0.022271185639449926 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 24 -0.025040590183264898 -4.353198410470853e-05 0.00010379323072484277 0.03412863901792935 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3 36 -0.037456110794966066 -4.586065236012233e-05 0.00024273035934582938 0.03219071147356213 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4 48 -0.04020908963076911 -6.232940961904566e-06 0.0003903683669912363 0.04365939278128582 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
5 60 -0.04405839540778379 -0.0003003940142359908 2.5799873704480195e-05 0.05605051391285157 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
6 72 -0.04905170990074514 -9.439998942710007e-05 0.0005875778710129198 0.06573008176253295 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 84 -0.04769577395640293 -0.00027649468725556513 0.0016626712723505751 0.06991069927641325 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
8 96 -0.06259966118376728 -0.0001191463944280873 0.0006789979112966363 0.08604686191263822 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
9 108 -0.06694860561466508 -0.00029930744759898675 0.0005657071360983322 0.0859807950973012 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
10 120 -0.07274981859342225 -0.00017749151817695618 0.00019476818961885984 0.07893983675317658 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
11 132 -0.08543508321864608 -4.412698749123119e-05 0.0002433043751591251 0.092025964772183 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
